timestamp,close,sma_20,diff,percent_diff,signal
2025-07-10 16:35:00+03:00,110772.21,110879.62,-107.41,-0.1,0
2025-07-10 16:40:00+03:00,110798.3,110877.45,-79.15,-0.07,0
2025-07-10 16:45:00+03:00,110629.32,110853.48,-224.16,-0.2,1
2025-07-10 16:50:00+03:00,110829.13,110845.26,-16.13,-0.01,0
2025-07-10 16:55:00+03:00,110800.01,110838.01,-38.0,-0.03,0
2025-07-10 17:00:00+03:00,110839.99,110832.02,7.97,0.01,0
2025-07-10 17:05:00+03:00,110990.28,110837.3,152.98,0.14,0
2025-07-10 17:10:00+03:00,111095.11,110850.3,244.81,0.22,-1
2025-07-10 17:15:00+03:00,111290.0,110875.3,414.7,0.37,-1
2025-07-10 17:20:00+03:00,111035.0,110907.94,127.06,0.11,0
2025-07-10 17:25:00+03:00,110872.0,110917.91,-45.91,-0.04,0
2025-07-10 17:30:00+03:00,110972.0,110935.28,36.72,0.03,0
2025-07-10 17:35:00+03:00,111129.99,110985.35,144.64,0.13,0
2025-07-10 17:40:00+03:00,111059.98,111008.44,51.54,0.05,0
2025-07-10 17:45:00+03:00,111140.0,111042.44,97.56,0.09,0
2025-07-10 17:50:00+03:00,111209.03,111079.34,129.69,0.12,0
2025-07-10 17:55:00+03:00,111247.57,111105.07,142.5,0.13,0
2025-07-10 18:00:00+03:00,111227.3,111118.29,109.01,0.1,0
2025-07-10 18:05:00+03:00,111185.31,111107.82,77.49,0.07,0
2025-07-10 18:10:00+03:00,110994.83,111103.8,-108.97,-0.1,0
2025-07-10 18:15:00+03:00,111300.49,111146.65,153.84,0.14,0
2025-07-10 18:20:00+03:00,111202.2,111169.67,32.53,0.03,0
2025-07-10 18:25:00+03:00,111331.14,111189.78,141.35,0.13,0
2025-07-10 18:30:00+03:00,111277.65,111211.55,66.1,0.06,0
2025-07-10 18:35:00+03:00,111267.71,111224.32,43.39,0.04,0
2025-07-10 18:40:00+03:00,111178.47,111221.27,-42.8,-0.04,0
2025-07-10 18:45:00+03:00,111288.84,111225.39,63.45,0.06,0
2025-07-10 18:50:00+03:00,111366.26,111239.29,126.97,0.11,0
2025-07-10 18:55:00+03:00,111408.4,111261.6,146.8,0.13,0
2025-07-10 19:00:00+03:00,111374.67,111299.58,75.09,0.07,0
2025-07-10 19:05:00+03:00,111426.71,111312.2,114.51,0.1,0
2025-07-10 19:10:00+03:00,111472.62,111339.25,133.37,0.12,0
2025-07-10 19:15:00+03:00,111715.43,111377.68,337.75,0.3,-1
2025-07-10 19:20:00+03:00,112288.47,111478.76,809.71,0.73,-1
2025-07-10 19:25:00+03:00,112376.92,111589.68,787.24,0.71,-1
2025-07-10 19:30:00+03:00,112643.8,111736.21,907.59,0.81,-1
2025-07-10 19:35:00+03:00,112695.04,111876.83,818.21,0.73,-1
2025-07-10 19:40:00+03:00,112637.66,112003.97,633.69,0.57,-1
2025-07-10 19:45:00+03:00,112517.67,112114.9,402.77,0.36,-1
2025-07-10 19:50:00+03:00,112590.12,112236.44,353.68,0.32,-1
2025-07-10 19:55:00+03:00,112643.48,112358.12,285.36,0.25,-1
2025-07-10 20:00:00+03:00,112699.99,112480.86,219.13,0.19,0
2025-07-10 20:05:00+03:00,113292.28,112638.54,653.74,0.58,-1
2025-07-10 20:10:00+03:00,113433.07,112753.0,680.07,0.6,-1
2025-07-10 20:15:00+03:00,113246.35,112839.95,406.4,0.36,-1
2025-07-10 20:20:00+03:00,113401.8,112915.75,486.05,0.43,-1
2025-07-10 20:25:00+03:00,113454.02,112991.64,462.38,0.41,-1
2025-07-10 20:30:00+03:00,113587.76,113086.65,501.11,0.44,-1
2025-07-10 20:35:00+03:00,113640.62,113198.95,441.67,0.39,-1
2025-07-10 20:40:00+03:00,113619.98,113301.94,318.04,0.28,-1
2025-07-10 20:45:00+03:00,113510.77,113388.66,122.11,0.11,0
2025-07-10 20:50:00+03:00,113752.1,113493.88,258.23,0.23,-1
2025-07-10 20:55:00+03:00,113722.82,113536.93,185.89,0.16,0
2025-07-10 21:00:00+03:00,113588.97,113552.52,36.45,0.03,0
2025-07-10 21:05:00+03:00,113411.28,113569.01,-157.73,-0.14,0
2025-07-10 21:10:00+03:00,113348.69,113563.7,-215.01,-0.19,0
2025-07-10 21:15:00+03:00,113520.53,113570.35,-49.82,-0.04,0
2025-07-10 21:20:00+03:00,113280.0,113539.58,-259.58,-0.23,1
2025-07-10 21:25:00+03:00,113182.35,113493.75,-311.4,-0.27,1
2025-07-10 21:30:00+03:00,113192.37,113450.99,-258.62,-0.23,1
2025-07-10 21:35:00+03:00,113086.35,113408.55,-322.2,-0.28,1
2025-07-10 21:40:00+03:00,113059.33,113339.27,-279.94,-0.25,1
2025-07-10 21:45:00+03:00,113216.7,113288.66,-71.96,-0.06,0
2025-07-10 21:50:00+03:00,113335.99,113263.36,72.63,0.06,0
2025-07-10 21:55:00+03:00,113420.0,113264.23,155.77,0.14,0
2025-07-10 22:00:00+03:00,113564.28,113285.79,278.49,0.25,-1
2025-07-10 22:05:00+03:00,113612.07,113294.94,317.13,0.28,-1
2025-07-10 22:10:00+03:00,113649.97,113331.94,318.03,0.28,-1
2025-07-10 22:15:00+03:00,113602.43,113373.95,228.48,0.2,-1
2025-07-10 22:20:00+03:00,113461.15,113400.83,60.32,0.05,0
2025-07-10 22:25:00+03:00,113340.61,113426.25,-85.64,-0.08,0
2025-07-10 22:30:00+03:00,113149.75,113435.3,-285.54,-0.25,1
2025-07-10 22:35:00+03:00,113142.42,113427.87,-285.45,-0.25,1
2025-07-10 22:40:00+03:00,113262.98,113420.57,-157.59,-0.14,0
2025-07-10 22:45:00+03:00,113165.01,113395.07,-230.06,-0.2,1
2025-07-10 22:50:00+03:00,113284.03,113367.04,-83.01,-0.07,0
2025-07-10 22:55:00+03:00,113301.81,113336.02,-34.21,-0.03,0
2025-07-10 23:00:00+03:00,113361.18,113307.14,54.04,0.05,0
2025-07-10 23:05:00+03:00,113315.81,113278.48,37.33,0.03,0
2025-07-10 23:10:00+03:00,113432.67,113275.63,157.04,0.14,0
2025-07-10 23:15:00+03:00,113451.39,113286.7,164.68,0.15,0
2025-07-10 23:20:00+03:00,113490.0,113320.73,169.27,0.15,0
2025-07-10 23:25:00+03:00,113447.54,113351.24,96.3,0.08,0
2025-07-10 23:30:00+03:00,113388.31,113363.78,24.54,0.02,0
2025-07-10 23:35:00+03:00,113448.0,113392.07,55.93,0.05,0
2025-07-10 23:40:00+03:00,113566.3,113420.3,146.0,0.13,0
2025-07-10 23:45:00+03:00,113513.77,113441.5,72.27,0.06,0
2025-07-10 23:50:00+03:00,113537.26,113459.11,78.15,0.07,0
2025-07-10 23:55:00+03:00,113493.16,113476.84,16.32,0.01,0
2025-07-11 00:00:00+03:00,113602.43,113493.82,108.61,0.1,0
2025-07-11 00:05:00+03:00,113612.29,113509.91,102.38,0.09,0
2025-07-11 00:10:00+03:00,113667.39,113527.64,139.75,0.12,0
2025-07-11 00:15:00+03:00,116195.25,113802.42,2392.83,2.1,-1
2025-07-11 00:20:00+03:00,116020.36,114065.62,1954.74,1.71,-1
2025-07-11 00:25:00+03:00,115727.5,114293.57,1433.93,1.25,-1
2025-07-11 00:30:00+03:00,116195.56,114556.5,1639.06,1.43,-1
2025-07-11 00:35:00+03:00,116301.04,114835.22,1465.82,1.28,-1
2025-07-11 00:40:00+03:00,116300.0,115111.5,1188.5,1.03,-1
2025-07-11 00:45:00+03:00,116553.9,115417.57,1136.33,0.98,-1
2025-07-11 00:50:00+03:00,116524.0,115709.73,814.27,0.7,-1
2025-07-11 00:55:00+03:00,116490.52,115997.55,492.97,0.42,-1
2025-07-11 01:00:00+03:00,116253.1,116256.12,-3.02,-0.0,0
2025-07-11 01:05:00+03:00,116335.44,116270.14,65.3,0.06,0
2025-07-11 01:10:00+03:00,116108.61,116278.97,-170.36,-0.15,0
2025-07-11 01:15:00+03:00,116227.99,116329.02,-101.03,-0.09,0
2025-07-11 01:20:00+03:00,115953.16,116304.78,-351.62,-0.3,1
2025-07-11 01:25:00+03:00,115925.52,116267.22,-341.7,-0.29,1
2025-07-11 01:30:00+03:00,115885.39,116225.76,-340.37,-0.29,1
2025-07-11 01:35:00+03:00,115829.28,116153.3,-324.02,-0.28,1
2025-07-11 01:40:00+03:00,115962.95,116097.2,-134.25,-0.12,0
2025-07-11 01:45:00+03:00,116103.15,116058.46,44.69,0.04,0
